OA,Acorn_category,Acorn_group,Acorn Category_frequency_count,Acorn Group_frequency_count
E00023424,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '6. Not Private Households': 1}","{'D. City Sophisticates': 10, 'R. Active Communal Population': 1}"
E00023425,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 2}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 2}"
E00023426,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 4, 'A. Lavish Lifestyles': 2}"
E00023427,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023428,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 2, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 2, 'A. Lavish Lifestyles': 1}"
E00023429,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 11},{'D. City Sophisticates': 11}
E00023430,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 4, '2. Rising Prosperity': 1}","{'R. Active Communal Population': 4, 'D. City Sophisticates': 1}"
E00023431,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 1}"
E00023432,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '1. Affluent Achievers': 3}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 3}"
E00023433,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '1. Affluent Achievers': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'A. Lavish Lifestyles': 2, 'E. Career Climbers': 1, 'R. Active Communal Population': 1}"
E00023434,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 5},{'P. Struggling Estates': 5}
E00023435,1. Affluent Achievers,A. Lavish Lifestyles,{'1. Affluent Achievers': 5},{'A. Lavish Lifestyles': 5}
E00023436,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 14, '6. Not Private Households': 1}","{'A. Lavish Lifestyles': 14, 'R. Active Communal Population': 1}"
E00023437,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '1. Affluent Achievers': 4}","{'D. City Sophisticates': 5, 'A. Lavish Lifestyles': 4}"
E00023438,1. Affluent Achievers,D. City Sophisticates,"{'1. Affluent Achievers': 3, '2. Rising Prosperity': 3, '6. Not Private Households': 2}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 3, 'R. Active Communal Population': 2}"
E00023439,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 11},{'D. City Sophisticates': 11}
E00023440,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 5, '2. Rising Prosperity': 5, '6. Not Private Households': 1}","{'A. Lavish Lifestyles': 5, 'D. City Sophisticates': 5, 'R. Active Communal Population': 1}"
E00023441,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 4}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 4}"
E00023442,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 7, '6. Not Private Households': 2, '2. Rising Prosperity': 2}","{'A. Lavish Lifestyles': 7, 'D. City Sophisticates': 2, 'R. Active Communal Population': 2}"
E00023443,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 3, '5. Urban Adversity': 2, '2. Rising Prosperity': 2}","{'R. Active Communal Population': 3, 'P. Struggling Estates': 2, 'D. City Sophisticates': 1, 'E. Career Climbers': 1}"
E00023444,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '5. Urban Adversity': 1, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 7, 'P. Struggling Estates': 1, 'A. Lavish Lifestyles': 1}"
E00023445,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 8, '2. Rising Prosperity': 2, '4. Financially Stretched': 1}","{'A. Lavish Lifestyles': 8, 'D. City Sophisticates': 2, 'N. Poorer Pensioners': 1}"
E00023446,4. Financially Stretched,K. Student Life,"{'4. Financially Stretched': 3, '5. Urban Adversity': 3}","{'K. Student Life': 3, 'P. Struggling Estates': 2, 'Q. Difficult Circumstances': 1}"
E00023447,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 6, '1. Affluent Achievers': 4, '5. Urban Adversity': 1}","{'D. City Sophisticates': 6, 'A. Lavish Lifestyles': 4, 'P. Struggling Estates': 1}"
E00023448,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 3}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 3}"
E00023449,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 2, 'A. Lavish Lifestyles': 1}"
E00023450,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '5. Urban Adversity': 2}","{'D. City Sophisticates': 3, 'P. Struggling Estates': 2}"
E00023451,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 6},{'D. City Sophisticates': 6}
E00023452,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 9},"{'D. City Sophisticates': 8, 'E. Career Climbers': 1}"
E00023453,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 2}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 2}"
E00023454,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023455,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023456,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023458,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023459,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '1. Affluent Achievers': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 2, 'P. Struggling Estates': 1}"
E00023460,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023461,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023462,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023463,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 1, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 1, 'D. City Sophisticates': 1}"
E00023464,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023465,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023466,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 1}"
E00023467,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023468,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023469,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023470,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 4, '2. Rising Prosperity': 2}","{'A. Lavish Lifestyles': 4, 'D. City Sophisticates': 2}"
E00023471,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023472,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023473,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 1}","{'D. City Sophisticates': 4, 'P. Struggling Estates': 1}"
E00023474,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023475,1. Affluent Achievers,D. City Sophisticates,"{'1. Affluent Achievers': 2, '2. Rising Prosperity': 2}","{'D. City Sophisticates': 2, 'A. Lavish Lifestyles': 2}"
E00023476,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 13, '6. Not Private Households': 2}","{'D. City Sophisticates': 13, 'R. Active Communal Population': 2}"
E00023477,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '5. Urban Adversity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'P. Struggling Estates': 2, 'R. Active Communal Population': 1}"
E00023478,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'R. Active Communal Population': 1}"
E00023479,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 5, 'A. Lavish Lifestyles': 1}"
E00023480,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1, '4. Financially Stretched': 1}","{'D. City Sophisticates': 3, 'K. Student Life': 1, 'R. Active Communal Population': 1}"
E00023481,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 2}"
E00023482,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '4. Financially Stretched': 1, '6. Not Private Households': 1}","{'D. City Sophisticates': 2, 'R. Active Communal Population': 1, 'K. Student Life': 1}"
E00023483,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '5. Urban Adversity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'P. Struggling Estates': 2, 'R. Active Communal Population': 1}"
E00023484,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 4, 'A. Lavish Lifestyles': 1}"
E00023485,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023486,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 7},{'D. City Sophisticates': 7}
E00023487,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 3}","{'D. City Sophisticates': 6, 'R. Active Communal Population': 3, 'E. Career Climbers': 1}"
E00023488,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 20, '6. Not Private Households': 5}","{'D. City Sophisticates': 20, 'R. Active Communal Population': 5}"
E00023489,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 20, '6. Not Private Households': 12, '1. Affluent Achievers': 1, '4. Financially Stretched': 1}","{'D. City Sophisticates': 20, 'R. Active Communal Population': 12, 'K. Student Life': 1, 'A. Lavish Lifestyles': 1}"
E00023490,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 56, '6. Not Private Households': 23, '1. Affluent Achievers': 1, '5. Urban Adversity': 1}","{'D. City Sophisticates': 55, 'R. Active Communal Population': 23, 'E. Career Climbers': 1, 'A. Lavish Lifestyles': 1, 'P. Struggling Estates': 1}"
E00023491,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 10, '2. Rising Prosperity': 8, '5. Urban Adversity': 7}","{'R. Active Communal Population': 10, 'D. City Sophisticates': 8, 'P. Struggling Estates': 7}"
E00023492,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 23, '6. Not Private Households': 12, '5. Urban Adversity': 1}","{'D. City Sophisticates': 23, 'R. Active Communal Population': 12, 'P. Struggling Estates': 1}"
E00023493,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 14},{'D. City Sophisticates': 14}
E00023494,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 15, '6. Not Private Households': 6, '5. Urban Adversity': 1}","{'D. City Sophisticates': 15, 'R. Active Communal Population': 6, 'P. Struggling Estates': 1}"
E00023495,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 10, 'A. Lavish Lifestyles': 2}"
E00023496,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 15, '6. Not Private Households': 2}","{'D. City Sophisticates': 15, 'R. Active Communal Population': 2}"
E00023497,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 19, '1. Affluent Achievers': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 19, 'A. Lavish Lifestyles': 2, 'R. Active Communal Population': 1}"
E00023498,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 15, '6. Not Private Households': 2}","{'D. City Sophisticates': 15, 'R. Active Communal Population': 2}"
E00023499,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 18, '6. Not Private Households': 10, '4. Financially Stretched': 1, '5. Urban Adversity': 1}","{'D. City Sophisticates': 17, 'R. Active Communal Population': 10, 'E. Career Climbers': 1, 'N. Poorer Pensioners': 1, 'P. Struggling Estates': 1}"
E00023500,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 14, '6. Not Private Households': 10}","{'D. City Sophisticates': 14, 'R. Active Communal Population': 10}"
E00023501,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '4. Financially Stretched': 2, '6. Not Private Households': 2}","{'D. City Sophisticates': 10, 'R. Active Communal Population': 2, 'K. Student Life': 2}"
E00023502,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '1. Affluent Achievers': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 8, 'A. Lavish Lifestyles': 4, 'R. Active Communal Population': 1}"
E00023503,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 30, '6. Not Private Households': 10}","{'D. City Sophisticates': 30, 'R. Active Communal Population': 10}"
E00023504,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 5, '4. Financially Stretched': 1}","{'D. City Sophisticates': 8, 'R. Active Communal Population': 5, 'K. Student Life': 1}"
E00023505,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 12, '6. Not Private Households': 5, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 12, 'R. Active Communal Population': 5, 'A. Lavish Lifestyles': 2}"
E00023506,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 21, '6. Not Private Households': 3, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 21, 'R. Active Communal Population': 3, 'A. Lavish Lifestyles': 1}"
E00023507,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '6. Not Private Households': 5}","{'D. City Sophisticates': 10, 'R. Active Communal Population': 5}"
E00023508,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 30, '6. Not Private Households': 15}","{'D. City Sophisticates': 30, 'R. Active Communal Population': 15}"
E00023509,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 16, '6. Not Private Households': 11, '4. Financially Stretched': 1}","{'D. City Sophisticates': 16, 'R. Active Communal Population': 11, 'K. Student Life': 1}"
E00023510,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 29, '6. Not Private Households': 20}","{'D. City Sophisticates': 29, 'R. Active Communal Population': 20}"
E00023511,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 6},{'D. City Sophisticates': 6}
E00023512,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 7},{'D. City Sophisticates': 7}
E00023513,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 1}"
E00023514,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 10},{'D. City Sophisticates': 10}
E00023515,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '5. Urban Adversity': 1}","{'D. City Sophisticates': 5, 'P. Struggling Estates': 1}"
E00023516,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 4}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 4}"
E00023517,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 13, '6. Not Private Households': 7}","{'D. City Sophisticates': 13, 'R. Active Communal Population': 7}"
E00023518,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 2}"
E00023519,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 2}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 2}"
E00023520,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 7},{'D. City Sophisticates': 7}
E00023521,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 2}"
E00023522,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 6, '1. Affluent Achievers': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 8, 'R. Active Communal Population': 6, 'A. Lavish Lifestyles': 2, 'P. Struggling Estates': 1}"
E00023523,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 1}"
E00023524,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023525,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 13, '6. Not Private Households': 7, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 13, 'R. Active Communal Population': 7, 'A. Lavish Lifestyles': 1}"
E00023526,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 26, '6. Not Private Households': 11, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 26, 'R. Active Communal Population': 11, 'A. Lavish Lifestyles': 2}"
E00023527,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 44, '6. Not Private Households': 9, '1. Affluent Achievers': 5}","{'D. City Sophisticates': 44, 'R. Active Communal Population': 9, 'A. Lavish Lifestyles': 5}"
E00023528,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 18, '6. Not Private Households': 3}","{'D. City Sophisticates': 18, 'R. Active Communal Population': 3}"
E00023529,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 23, '6. Not Private Households': 9, '5. Urban Adversity': 1}","{'D. City Sophisticates': 23, 'R. Active Communal Population': 9, 'P. Struggling Estates': 1}"
E00023530,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '2. Rising Prosperity': 2, '4. Financially Stretched': 1}","{'P. Struggling Estates': 4, 'D. City Sophisticates': 2, 'K. Student Life': 1}"
E00023531,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 5},{'P. Struggling Estates': 5}
E00023532,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '6. Not Private Households': 1}","{'P. Struggling Estates': 3, 'R. Active Communal Population': 1}"
E00023533,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023534,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 13, '5. Urban Adversity': 1}","{'D. City Sophisticates': 13, 'P. Struggling Estates': 1}"
E00023535,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '6. Not Private Households': 1, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'D. City Sophisticates': 1, 'R. Active Communal Population': 1}"
E00023536,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 4},{'P. Struggling Estates': 4}
E00023537,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 4}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 4}"
E00023538,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '6. Not Private Households': 1}","{'P. Struggling Estates': 3, 'R. Active Communal Population': 1}"
E00023539,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 3},{'P. Struggling Estates': 3}
E00023540,2. Rising Prosperity,P. Struggling Estates,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 2, '4. Financially Stretched': 1}","{'P. Struggling Estates': 2, 'D. City Sophisticates': 2, 'E. Career Climbers': 2, 'N. Poorer Pensioners': 1}"
E00023541,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 4},{'P. Struggling Estates': 4}
E00023542,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 2, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 2, 'D. City Sophisticates': 1}"
E00023543,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '6. Not Private Households': 1, '4. Financially Stretched': 1}","{'P. Struggling Estates': 5, 'R. Active Communal Population': 1, 'N. Poorer Pensioners': 1}"
E00023544,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'E. Career Climbers': 1}"
E00023545,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 5}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 5}"
E00023546,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 1}"
E00023547,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 4},{'P. Struggling Estates': 4}
E00023548,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '6. Not Private Households': 2, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'R. Active Communal Population': 2, 'D. City Sophisticates': 1}"
E00023549,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 2},{'P. Struggling Estates': 2}
E00023550,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 2, '2. Rising Prosperity': 2}","{'P. Struggling Estates': 2, 'D. City Sophisticates': 2}"
E00023551,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '6. Not Private Households': 3}","{'P. Struggling Estates': 3, 'R. Active Communal Population': 3}"
E00023552,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '4. Financially Stretched': 1}","{'P. Struggling Estates': 3, 'K. Student Life': 1}"
E00023554,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 3},"{'P. Struggling Estates': 2, 'Q. Difficult Circumstances': 1}"
E00023555,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 5},{'P. Struggling Estates': 5}
E00023556,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'D. City Sophisticates': 1}"
E00023557,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 2, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 2, 'R. Active Communal Population': 2}"
E00023558,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 2, '2. Rising Prosperity': 2, '5. Urban Adversity': 1}","{'R. Active Communal Population': 2, 'P. Struggling Estates': 1, 'D. City Sophisticates': 1, 'E. Career Climbers': 1}"
E00023559,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '1. Affluent Achievers': 5}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 5, 'E. Career Climbers': 1}"
E00023560,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 6, '6. Not Private Households': 3}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 4, 'R. Active Communal Population': 3, 'E. Career Climbers': 2}"
E00023561,6. Not Private Households,P. Struggling Estates,"{'6. Not Private Households': 3, '5. Urban Adversity': 3, '2. Rising Prosperity': 2}","{'P. Struggling Estates': 3, 'R. Active Communal Population': 3, 'D. City Sophisticates': 2}"
E00023562,5. Urban Adversity,Q. Difficult Circumstances,{'5. Urban Adversity': 4},{'Q. Difficult Circumstances': 4}
E00023564,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '6. Not Private Households': 2}","{'P. Struggling Estates': 4, 'R. Active Communal Population': 2}"
E00023565,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 9, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 9, 'D. City Sophisticates': 1}"
