,OA,Wellbeing_Acorn_group,Wellbeing_Acorn_type,Wellbeing Acorn Group_frequency_count,Wellbeing Acorn Type_frequency_count
14,E00023428,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 2, '4. Healthy': 1}","{'18. Cultural concerns': 3, '27. Inactive communal population': 2, '22. Gym & juices': 1}"
15,E00023429,4. Healthy,22. Gym & juices,{'4. Healthy': 9},{'22. Gym & juices': 9}
16,E00023430,5. Not Private Households,27. Inactive communal population,"{'5. Not Private Households': 4, '4. Healthy': 1}","{'27. Inactive communal population': 4, '22. Gym & juices': 1}"
17,E00023431,3. Caution,18. Cultural concerns,"{'3. Caution': 8, '4. Healthy': 2}","{'18. Cultural concerns': 8, '22. Gym & juices': 2}"
18,E00023432,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 1}"
19,E00023433,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1}"
20,E00023434,4. Healthy,21. Sensible seniors,{'4. Healthy': 5},{'21. Sensible seniors': 5}
21,E00023435,3. Caution,18. Cultural concerns,{'3. Caution': 5},{'18. Cultural concerns': 5}
22,E00023436,3. Caution,18. Cultural concerns,"{'3. Caution': 12, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 12, '22. Gym & juices': 1, '28. Business addresses etc.': 1}"
23,E00023437,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 2, '2. At Risk': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 2, '13. Regular revellers': 1}"
24,E00023438,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '5. Not Private Households': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '28. Business addresses etc.': 2, '22. Gym & juices': 1}"
25,E00023439,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '3. Caution': 3}","{'22. Gym & juices': 4, '24. Five-a-day greys': 4, '18. Cultural concerns': 3}"
26,E00023440,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '3. Caution': 1, '5. Not Private Households': 1}","{'22. Gym & juices': 8, '18. Cultural concerns': 1, '28. Business addresses etc.': 1}"
27,E00023441,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 3}","{'22. Gym & juices': 5, '18. Cultural concerns': 3}"
28,E00023442,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 2}","{'22. Gym & juices': 5, '28. Business addresses etc.': 2, '24. Five-a-day greys': 1}"
29,E00023443,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 4, '5. Not Private Households': 3}","{'28. Business addresses etc.': 2, '21. Sensible seniors': 2, '22. Gym & juices': 2, '27. Inactive communal population': 1}"
30,E00023444,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '4. Healthy': 3}","{'18. Cultural concerns': 4, '22. Gym & juices': 2, '21. Sensible seniors': 1}"
31,E00023445,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 3, '1. Health Challenges': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 3, '1. Limited living': 1}"
32,E00023446,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '1. Health Challenges': 1}","{'22. Gym & juices': 3, '21. Sensible seniors': 2, '3. Hardship heartlands': 1}"
33,E00023447,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 4}","{'22. Gym & juices': 4, '18. Cultural concerns': 4, '21. Sensible seniors': 1}"
34,E00023448,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '3. Caution': 5}","{'18. Cultural concerns': 5, '22. Gym & juices': 4, '24. Five-a-day greys': 1}"
35,E00023449,4. Healthy,18. Cultural concerns,"{'4. Healthy': 4, '3. Caution': 3, '5. Not Private Households': 2}","{'18. Cultural concerns': 3, '22. Gym & juices': 3, '27. Inactive communal population': 1, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1}"
36,E00023450,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '3. Caution': 2}","{'21. Sensible seniors': 2, '18. Cultural concerns': 2, '22. Gym & juices': 1}"
37,E00023451,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 3}","{'22. Gym & juices': 3, '18. Cultural concerns': 3}"
38,E00023452,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 6, '3. Caution': 1}","{'24. Five-a-day greys': 5, '18. Cultural concerns': 1, '22. Gym & juices': 1}"
39,E00023453,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2}","{'22. Gym & juices': 4, '28. Business addresses etc.': 2}"
40,E00023454,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1, '27. Inactive communal population': 1}"
41,E00023455,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
42,E00023456,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 1}"
43,E00023458,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
44,E00023459,4. Healthy,22. Gym & juices,{'4. Healthy': 6},"{'22. Gym & juices': 5, '21. Sensible seniors': 1}"
45,E00023460,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 1}"
46,E00023461,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 2, '27. Inactive communal population': 1, '18. Cultural concerns': 1}"
47,E00023462,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
48,E00023463,4. Healthy,21. Sensible seniors,"{'4. Healthy': 1, '3. Caution': 1}","{'21. Sensible seniors': 1, '18. Cultural concerns': 1}"
49,E00023464,4. Healthy,22. Gym & juices,"{'4. Healthy': 1, '3. Caution': 1}","{'22. Gym & juices': 1, '18. Cultural concerns': 1}"
50,E00023465,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
51,E00023466,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 2}","{'18. Cultural concerns': 2, '22. Gym & juices': 2}"
52,E00023467,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
53,E00023468,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '22. Gym & juices': 1}"
54,E00023469,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 1}"
55,E00023470,4. Healthy,22. Gym & juices,{'4. Healthy': 6},{'22. Gym & juices': 6}
56,E00023471,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 2}","{'22. Gym & juices': 2, '18. Cultural concerns': 2}"
57,E00023472,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 2}","{'22. Gym & juices': 2, '18. Cultural concerns': 2}"
58,E00023473,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 2}","{'22. Gym & juices': 2, '18. Cultural concerns': 2, '21. Sensible seniors': 1}"
59,E00023474,4. Healthy,22. Gym & juices,{'4. Healthy': 4},{'22. Gym & juices': 4}
60,E00023475,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '2. At Risk': 1}","{'22. Gym & juices': 3, '13. Regular revellers': 1}"
61,E00023476,3. Caution,18. Cultural concerns,"{'3. Caution': 9, '4. Healthy': 3, '5. Not Private Households': 2}","{'18. Cultural concerns': 9, '24. Five-a-day greys': 3, '27. Inactive communal population': 1, '28. Business addresses etc.': 1}"
62,E00023477,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 1, '3. Caution': 1}","{'21. Sensible seniors': 2, '22. Gym & juices': 1, '28. Business addresses etc.': 1, '18. Cultural concerns': 1}"
63,E00023478,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 7, '22. Gym & juices': 2, '28. Business addresses etc.': 1}"
64,E00023479,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 3}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 2, '22. Gym & juices': 1}"
65,E00023480,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '5. Not Private Households': 1, '4. Healthy': 1}","{'18. Cultural concerns': 2, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1}"
66,E00023481,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 4}","{'22. Gym & juices': 6, '18. Cultural concerns': 4}"
67,E00023482,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '28. Business addresses etc.': 1}"
68,E00023483,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 1}","{'22. Gym & juices': 3, '21. Sensible seniors': 2, '28. Business addresses etc.': 1}"
69,E00023484,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 1, '24. Five-a-day greys': 1}"
70,E00023485,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '24. Five-a-day greys': 1}"
71,E00023486,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
72,E00023487,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 3, '4. Healthy': 3, '3. Caution': 2}","{'28. Business addresses etc.': 3, '22. Gym & juices': 3, '18. Cultural concerns': 2}"
73,E00023488,3. Caution,18. Cultural concerns,"{'3. Caution': 14, '5. Not Private Households': 5, '4. Healthy': 2}","{'18. Cultural concerns': 14, '28. Business addresses etc.': 3, '26. Active communal population': 2, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
74,E00023489,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 12, '4. Healthy': 8, '3. Caution': 4}","{'28. Business addresses etc.': 12, '22. Gym & juices': 6, '18. Cultural concerns': 4, '24. Five-a-day greys': 2}"
75,E00023490,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 23, '4. Healthy': 14, '3. Caution': 13}","{'28. Business addresses etc.': 21, '18. Cultural concerns': 13, '24. Five-a-day greys': 9, '22. Gym & juices': 5, '26. Active communal population': 2}"
76,E00023491,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 11, '5. Not Private Households': 10}","{'28. Business addresses etc.': 10, '21. Sensible seniors': 7, '22. Gym & juices': 3, '24. Five-a-day greys': 1}"
77,E00023492,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 12, '5. Not Private Households': 12}","{'28. Business addresses etc.': 12, '22. Gym & juices': 9, '24. Five-a-day greys': 2, '21. Sensible seniors': 1}"
78,E00023493,4. Healthy,22. Gym & juices,"{'4. Healthy': 10, '3. Caution': 4}","{'22. Gym & juices': 7, '18. Cultural concerns': 4, '24. Five-a-day greys': 3}"
79,E00023494,3. Caution,18. Cultural concerns,"{'3. Caution': 10, '5. Not Private Households': 6, '4. Healthy': 4}","{'18. Cultural concerns': 10, '28. Business addresses etc.': 5, '22. Gym & juices': 3, '26. Active communal population': 1, '24. Five-a-day greys': 1}"
80,E00023495,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 2}","{'18. Cultural concerns': 7, '22. Gym & juices': 2}"
81,E00023496,3. Caution,18. Cultural concerns,"{'3. Caution': 8, '4. Healthy': 3, '5. Not Private Households': 2}","{'18. Cultural concerns': 8, '24. Five-a-day greys': 3, '28. Business addresses etc.': 2}"
82,E00023497,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 4, '5. Not Private Households': 1}","{'18. Cultural concerns': 6, '22. Gym & juices': 3, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1}"
83,E00023498,3. Caution,18. Cultural concerns,"{'3. Caution': 12, '5. Not Private Households': 2, '4. Healthy': 1}","{'18. Cultural concerns': 12, '28. Business addresses etc.': 2, '22. Gym & juices': 1}"
84,E00023499,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '4. Healthy': 7, '1. Health Challenges': 1, '3. Caution': 1}","{'28. Business addresses etc.': 10, '22. Gym & juices': 6, '1. Limited living': 1, '15. Borderline behaviours': 1, '21. Sensible seniors': 1}"
85,E00023500,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '4. Healthy': 5}","{'28. Business addresses etc.': 8, '24. Five-a-day greys': 3, '22. Gym & juices': 2, '26. Active communal population': 2}"
86,E00023501,3. Caution,18. Cultural concerns,"{'3. Caution': 8, '5. Not Private Households': 2, '4. Healthy': 2}","{'18. Cultural concerns': 7, '28. Business addresses etc.': 2, '15. Borderline behaviours': 1, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
87,E00023502,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 5, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '18. Cultural concerns': 5, '28. Business addresses etc.': 1}"
88,E00023503,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '3. Caution': 5, '4. Healthy': 1}","{'28. Business addresses etc.': 9, '18. Cultural concerns': 5, '22. Gym & juices': 1, '27. Inactive communal population': 1}"
89,E00023504,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '5. Not Private Households': 5}","{'22. Gym & juices': 8, '28. Business addresses etc.': 5}"
90,E00023505,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 5, '4. Healthy': 4, '3. Caution': 4}","{'28. Business addresses etc.': 4, '18. Cultural concerns': 4, '22. Gym & juices': 2, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
91,E00023506,3. Caution,18. Cultural concerns,"{'3. Caution': 10, '4. Healthy': 5, '5. Not Private Households': 3}","{'18. Cultural concerns': 10, '22. Gym & juices': 5, '28. Business addresses etc.': 3}"
92,E00023507,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 5, '4. Healthy': 5, '3. Caution': 1}","{'28. Business addresses etc.': 5, '22. Gym & juices': 5, '18. Cultural concerns': 1}"
93,E00023508,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 15, '3. Caution': 6, '4. Healthy': 5}","{'28. Business addresses etc.': 15, '18. Cultural concerns': 6, '22. Gym & juices': 4, '24. Five-a-day greys': 1}"
94,E00023509,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 11, '4. Healthy': 7, '3. Caution': 2}","{'28. Business addresses etc.': 11, '22. Gym & juices': 6, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
95,E00023510,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 20, '4. Healthy': 13}","{'28. Business addresses etc.': 20, '22. Gym & juices': 9, '24. Five-a-day greys': 4}"
96,E00023511,4. Healthy,22. Gym & juices,{'4. Healthy': 6},{'22. Gym & juices': 6}
97,E00023512,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 5, '3. Caution': 1}","{'24. Five-a-day greys': 3, '22. Gym & juices': 2, '18. Cultural concerns': 1}"
98,E00023513,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 2, '5. Not Private Households': 1}","{'24. Five-a-day greys': 1, '26. Active communal population': 1, '22. Gym & juices': 1}"
99,E00023514,4. Healthy,18. Cultural concerns,"{'4. Healthy': 4, '3. Caution': 4}","{'18. Cultural concerns': 4, '22. Gym & juices': 3, '24. Five-a-day greys': 1}"
100,E00023515,4. Healthy,22. Gym & juices,{'4. Healthy': 4},"{'22. Gym & juices': 3, '21. Sensible seniors': 1}"
101,E00023516,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '5. Not Private Households': 4}","{'18. Cultural concerns': 7, '28. Business addresses etc.': 4}"
102,E00023517,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 11, '5. Not Private Households': 7, '3. Caution': 1}","{'24. Five-a-day greys': 6, '28. Business addresses etc.': 6, '22. Gym & juices': 5, '18. Cultural concerns': 1, '26. Active communal population': 1}"
103,E00023518,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 5, '5. Not Private Households': 2, '3. Caution': 1}","{'24. Five-a-day greys': 3, '28. Business addresses etc.': 2, '22. Gym & juices': 2, '18. Cultural concerns': 1}"
104,E00023519,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 2, '5. Not Private Households': 2}","{'22. Gym & juices': 3, '18. Cultural concerns': 2, '28. Business addresses etc.': 2}"
105,E00023520,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 2}","{'18. Cultural concerns': 5, '24. Five-a-day greys': 2}"
106,E00023521,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 7, '5. Not Private Households': 2}","{'24. Five-a-day greys': 7, '28. Business addresses etc.': 2}"
107,E00023522,5. Not Private Households,18. Cultural concerns,"{'5. Not Private Households': 6, '3. Caution': 5, '4. Healthy': 3}","{'18. Cultural concerns': 5, '28. Business addresses etc.': 5, '22. Gym & juices': 2, '27. Inactive communal population': 1, '21. Sensible seniors': 1}"
108,E00023523,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 1, '5. Not Private Households': 1}","{'22. Gym & juices': 1, '24. Five-a-day greys': 1, '18. Cultural concerns': 1, '28. Business addresses etc.': 1}"
109,E00023524,3. Caution,18. Cultural concerns,{'3. Caution': 4},{'18. Cultural concerns': 4}
110,E00023525,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 7, '4. Healthy': 5, '3. Caution': 3}","{'28. Business addresses etc.': 7, '24. Five-a-day greys': 3, '18. Cultural concerns': 3, '22. Gym & juices': 2}"
111,E00023526,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 11, '3. Caution': 10, '4. Healthy': 6}","{'28. Business addresses etc.': 11, '18. Cultural concerns': 10, '24. Five-a-day greys': 4, '22. Gym & juices': 2}"
112,E00023527,3. Caution,18. Cultural concerns,"{'3. Caution': 10, '4. Healthy': 10, '5. Not Private Households': 9}","{'18. Cultural concerns': 10, '28. Business addresses etc.': 9, '22. Gym & juices': 6, '24. Five-a-day greys': 4}"
113,E00023528,4. Healthy,18. Cultural concerns,"{'4. Healthy': 7, '3. Caution': 5, '5. Not Private Households': 3}","{'18. Cultural concerns': 5, '24. Five-a-day greys': 4, '28. Business addresses etc.': 3, '22. Gym & juices': 3}"
114,E00023529,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 9, '3. Caution': 9, '4. Healthy': 5}","{'28. Business addresses etc.': 9, '18. Cultural concerns': 9, '22. Gym & juices': 4, '21. Sensible seniors': 1}"
115,E00023530,4. Healthy,21. Sensible seniors,{'4. Healthy': 7},"{'21. Sensible seniors': 4, '22. Gym & juices': 3}"
116,E00023531,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '4. Healthy': 1}","{'8. Despondent diversity': 4, '21. Sensible seniors': 1}"
117,E00023532,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '5. Not Private Households': 1}","{'8. Despondent diversity': 3, '28. Business addresses etc.': 1}"
118,E00023533,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
119,E00023534,4. Healthy,22. Gym & juices,"{'4. Healthy': 11, '3. Caution': 1}","{'22. Gym & juices': 9, '24. Five-a-day greys': 1, '18. Cultural concerns': 1, '21. Sensible seniors': 1}"
120,E00023535,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 1, '2. At Risk': 1}","{'21. Sensible seniors': 2, '28. Business addresses etc.': 1, '22. Gym & juices': 1, '8. Despondent diversity': 1}"
121,E00023536,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '2. At Risk': 1}","{'21. Sensible seniors': 3, '8. Despondent diversity': 1}"
122,E00023537,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 3}","{'22. Gym & juices': 6, '18. Cultural concerns': 3}"
123,E00023538,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 1}","{'21. Sensible seniors': 3, '28. Business addresses etc.': 1}"
124,E00023539,2. At Risk,8. Despondent diversity,{'2. At Risk': 3},{'8. Despondent diversity': 3}
125,E00023540,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '1. Health Challenges': 1}","{'22. Gym & juices': 3, '21. Sensible seniors': 2, '1. Limited living': 1}"
126,E00023541,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '4. Healthy': 2}","{'8. Despondent diversity': 2, '21. Sensible seniors': 2}"
127,E00023542,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 1}","{'21. Sensible seniors': 1, '8. Despondent diversity': 1, '22. Gym & juices': 1}"
128,E00023543,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '5. Not Private Households': 1, '4. Healthy': 1, '1. Health Challenges': 1}","{'8. Despondent diversity': 4, '28. Business addresses etc.': 1, '21. Sensible seniors': 1, '1. Limited living': 1}"
129,E00023544,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '3. Caution': 1}","{'8. Despondent diversity': 3, '15. Borderline behaviours': 1}"
130,E00023545,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '3. Caution': 2}","{'22. Gym & juices': 7, '18. Cultural concerns': 2}"
131,E00023546,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '5. Not Private Households': 1}","{'18. Cultural concerns': 4, '28. Business addresses etc.': 1}"
132,E00023547,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '4. Healthy': 1}","{'8. Despondent diversity': 3, '21. Sensible seniors': 1}"
133,E00023548,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '5. Not Private Households': 2, '2. At Risk': 1}","{'21. Sensible seniors': 2, '28. Business addresses etc.': 2, '8. Despondent diversity': 1}"
134,E00023549,2. At Risk,8. Despondent diversity,{'2. At Risk': 2},{'8. Despondent diversity': 2}
135,E00023550,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 2}","{'21. Sensible seniors': 2, '13. Regular revellers': 2}"
136,E00023551,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '5. Not Private Households': 3}","{'8. Despondent diversity': 3, '28. Business addresses etc.': 3}"
137,E00023552,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '4. Healthy': 1}","{'8. Despondent diversity': 3, '22. Gym & juices': 1}"
138,E00023554,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '1. Health Challenges': 1}","{'8. Despondent diversity': 2, '1. Limited living': 1}"
139,E00023555,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '2. At Risk': 1}","{'21. Sensible seniors': 4, '8. Despondent diversity': 1}"
140,E00023556,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '2. At Risk': 1}","{'21. Sensible seniors': 2, '8. Despondent diversity': 1, '22. Gym & juices': 1}"
141,E00023557,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 4, '28. Business addresses etc.': 2, '18. Cultural concerns': 1}"
142,E00023558,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 2, '4. Healthy': 2}","{'28. Business addresses etc.': 2, '21. Sensible seniors': 1, '22. Gym & juices': 1}"
143,E00023559,4. Healthy,22. Gym & juices,"{'4. Healthy': 9, '2. At Risk': 2}","{'22. Gym & juices': 6, '24. Five-a-day greys': 3, '13. Regular revellers': 2}"
144,E00023560,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '5. Not Private Households': 3, '2. At Risk': 2, '3. Caution': 1}","{'22. Gym & juices': 6, '28. Business addresses etc.': 3, '13. Regular revellers': 2, '18. Cultural concerns': 1, '24. Five-a-day greys': 1}"
145,E00023561,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 3, '5. Not Private Households': 3, '2. At Risk': 1}","{'28. Business addresses etc.': 3, '22. Gym & juices': 2, '21. Sensible seniors': 1, '8. Despondent diversity': 1}"
146,E00023562,1. Health Challenges,1. Limited living,{'1. Health Challenges': 3},{'1. Limited living': 3}
147,E00023564,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '5. Not Private Households': 2}","{'8. Despondent diversity': 4, '28. Business addresses etc.': 2}"
148,E00023565,4. Healthy,21. Sensible seniors,"{'4. Healthy': 7, '2. At Risk': 2}","{'21. Sensible seniors': 6, '8. Despondent diversity': 2, '22. Gym & juices': 1}"
